Grid_x,Grid_y,Grid_x_cm,Grid_y_cm,Motu_Device,Motu_Channel,Amp,Zone,Channel,Check_2018_09_17,matlab_chan
3,3,12.5,12.5,1,1,3,1,1,1,1
8,8,37.5,37.5,1,2,3,1,2,1,2
13,3,62.5,12.5,1,3,3,2,1,1,3
13,8,62.5,37.5,1,4,3,2,2,1,4
13,17,62.5,82.5,1,5,3,3,1,1,5
13,26,62.5,127.5,1,6,3,3,2,1,6
27,10,132.5,47.5,1,7,3,4,1,1,7
27,17,132.5,82.5,1,8,3,4,2,1,8
27,33,132.5,162.5,1,9,3,5,1,1,9
27,26,132.5,127.5,1,10,3,5,2,1,10
50,17,247.5,82.5,1,11,3,6,1,1,11
50,26,247.5,127.5,1,12,3,6,2,1,12
13,40,62.5,197.5,1,13,3,7,1,1,13
13,35,62.5,172.5,1,14,3,7,2,1,14
3,40,12.5,197.5,1,15,3,8,1,1,15
8,35,37.5,172.5,1,16,3,8,2,1,16
50,40,247.5,197.5,1,21,2,7,1,1,17
50,35,247.5,172.5,1,22,2,7,2,1,18
60,40,297.5,197.5,1,19,2,6,1,1,19
55,35,272.5,172.5,1,20,2,6,2,1,20
36,33,177.5,162.5,1,17,2,5,1,1,21
36,26,177.5,127.5,1,18,2,5,2,1,22
60,28,297.5,137.5,1,23,2,8,1,1,23
55,28,272.5,137.5,1,24,2,8,2,1,24
45,35,222.5,172.5,2,1,1,5,1,1,25
45,28,222.5,137.5,2,2,1,5,2,1,26
18,35,87.5,172.5,2,3,1,6,1,1,27
18,28,87.5,137.5,2,4,1,6,2,1,28
36,40,177.5,197.5,2,5,1,7,1,1,29
27,40,132.5,197.5,2,6,1,7,2,1,30
3,28,12.5,137.5,2,7,1,8,1,1,31
8,28,37.5,137.5,2,8,1,8,2,1,32
3,15,12.5,72.5,2,9,2,1,1,1,33
8,15,37.5,72.5,2,10,2,1,2,1,34
50,3,247.5,12.5,2,11,2,2,1,1,35
50,8,247.5,37.5,2,12,2,2,2,1,36
60,15,297.5,72.5,2,13,2,3,1,1,37
55,15,272.5,72.5,2,14,2,3,2,1,38
36,10,177.5,47.5,2,15,2,4,1,1,39
36,17,177.5,82.5,2,16,2,4,2,1,40
60,3,297.5,12.5,2,17,1,1,1,1,41
55,8,272.5,37.5,2,18,1,1,2,1,42
36,3,177.5,12.5,2,19,1,2,1,1,43
27,3,132.5,12.5,2,20,1,2,2,1,44
18,8,87.5,37.5,2,21,1,3,1,1,45
18,15,87.5,72.5,2,22,1,3,2,1,46
45,8,222.5,37.5,2,23,1,4,1,1,47
45,15,222.5,72.5,2,24,1,4,2,1,48
